ecoregion,occurrences,area,density,norm_occurrences
12,2.0,17.1336393373,0.11672943270411863,0.0186040355588178
16,1425.3333333333333,7.95875071444,179.0900839182301,0.020958800344544545
22,3.0,3.34621568033,0.8965351569042147,0.16316164026234942
32,930.8571428571429,16.6378035498,55.94831914386515,0.020753171845361063
33,243.14285714285714,18.6748836532,13.01977895327845,0.02256744288033352
34,355.4,16.4336202383,21.62639727865373,0.03897884813974777
36,2.0,5.58756452327,0.357937701062921,0.16316164026234942
38,2.5,19.521012001,0.12806713093931466,3.7001796213140583
49,195.57142857142858,1.51440720922,129.14058212398382,0.024716649226034466
56,124.25,1.92869111176,64.421928033161,0.04278982622823195
66,2.5,0.239735268467,10.428169438674516,0.021073706510172895
73,36.5,8.06696551756,4.524625761762285,0.01986493892895929
81,38.5,14.6539855788,2.6272715905833945,0.020208798296247398
93,170.2,40.6774120892,4.184140319122925,0.019662658603889365
111,3.0,2.60288959245,1.1525652139460187,0.16316164026234942
113,2.0,0.00791390618352,252.71970043880742,0.023501970190963246
117,3.0,7.49578161281,0.40022510726207877,0.078699316324253
124,8.0,28.0459889635,0.28524578007969237,0.010810741280151618
131,31.0,19.868732006,1.560240481910902,0.019666103575147757
133,307.6,33.9438946367,9.062012573755286,0.021433313783238754
138,949.7142857142857,24.1736924333,39.2871005674758,0.017494435277197164
149,82.0,36.7793240461,2.2295135140933917,0.02163001960579818
152,15.25,161.003728408,0.09471830342558858,7.03936041137307
172,7.666666666666667,28.7327900993,0.26682639034256006,0.016409554693988325
173,38.75,15.113153628,2.563991669363318,0.025833747512255808
181,36.0,1.17853103294,30.546501529275208,0.16316164026234942
182,3.0,5.52529219317,0.5429577106724602,0.023501970190963246
184,2.0,0.879716741951,2.2734590631576266,0.16316164026234942
189,2.5,8.56895647834,0.2917508107690035,0.02935552903121937
190,2.3333333333333335,0.282603984934,8.256547882289293,0.0380108461777394
191,6.333333333333333,5.7372718021,1.1038928521767364,0.0723415804999199
194,4.0,0.494292598757,8.092372837584094,0.057172710657821
212,13.5,5.26323578921,2.564962038690332,0.03656739093441239
223,353.8,59.0300611024,5.993556391314924,0.021854814649479824
225,64.0,5.89132822837,10.863424599533369,0.016923307122165995
228,1616.1666666666667,37.7232269012,42.842747013651035,0.021393415887317482
230,2814.0,14.7117410863,191.27579689534357,0.02006629070918225
242,2.0,7.05160838864,0.2836232373910553,0.057172710657821
259,75.75,1.78860361144,42.351474365532496,0.06746432720170428
268,25.333333333333332,13.925478712600002,1.819207357691145,0.01831344538196617
284,28.0,2.60459330079,10.750238815214379,0.16316164026234942
296,118.2,4.24881918977,27.819494010146023,0.019556592304066128
334,116.33333333333333,12.513661331100002,9.296506454446869,0.02179393876969162
341,33.0,4.81635017953,6.851661272524059,0.14992113400206533
348,8.0,21.8205070922,0.3666275933092176,4.899170106415832
379,5.0,5.61788226127,0.8900150924255363,0.057172710657821
381,2.0,1.3951065354,1.4335822743648512,0.057172710657821
385,3.0,30.7487673686,0.09756488655423429,11.454471276673337
405,8.0,8.54041336665,0.9367228091370501,0.11951799336504125
414,5.333333333333333,2.48138888948,2.149333929858527,0.11710252782311542
422,4.333333333333333,34.0402619296,0.12730023471309562,7.235685976173254
431,9.666666666666666,2.27990729329,4.239938481321874,0.09380565700736347
433,84.25,79.5167709891,1.059524914706972,0.021018628843540544
435,202.33333333333334,7.82104951821,25.870355744741698,0.03031869682485752
436,79.0,104.502835225,0.7559603510269259,0.019277812783885736
441,96.0,11.2407351417,8.540366692198512,0.04205787640529154
446,114.8,11.7751505856,9.749344534106474,0.020984688648190673
447,2.0,5.42230254843,0.368846994821248,0.16316164026234942
463,2.0,6.43184011604,0.31095300317125635,0.010810741280151618
464,4.0,16.3412862422,0.2447787732687979,0.16316164026234942
471,3351.5714285714284,38.5098998447,87.03142418150681,0.020789259017418422
499,3353.0,7.87617951101,425.71401468350086,0.020448704644926517
513,89.2,86.1689626613,1.035175511519315,0.021760690561979608
515,110.6,10.1612193165,10.884520504385275,0.018598658700969793
535,130.75,6.65201147205,19.65570873552715,0.02158285110836221
541,18.75,10.7946368181,1.7369736764613306,0.01777102954125594
542,9.0,6.86644208301,1.3107224806088695,0.010810741280151618
546,132.5,9.86697157267,13.428639073715862,0.018454963128922267
548,4.0,0.417431689472,9.582406177785664,0.16316164026234942
551,8.0,1.46410800102,5.464077782804711,0.16316164026234942
553,6.0,1.31540395908,4.561336430974732,0.16316164026234942
564,36.75,12.6253236256,2.9108164740809572,0.10557115983593945
567,24.5,14.5622613706,1.682431002746831,0.03919562049096961
574,3.0,14.1818163066,0.21153848950954512,0.16316164026234942
603,5.0,0.393949241341,12.69199042744705,0.16316164026234942
632,13.5,21.2168209749,0.636287595392864,0.023045424192332704
643,86.5,20.0910934704,4.305390352567895,0.02130159087129689
661,544.1428571428571,49.8974918189,10.905214617155337,0.047430726332342146
674,2424.1428571428573,24.5756786449,98.63991518484151,0.015951814273773776
675,2.0,51.0028915781,0.03921346296488756,0.02930453578196278
718,4.5,1.3393677082,3.3597943062608477,0.12783199706083995
729,14.5,4.12360417389,3.5163413820879503,0.028396315871681385
758,555.7142857142857,15.4816845082,35.89494963677545,0.01942591846454735
781,1651.8333333333333,34.43451422,47.970281293352116,0.02020351860267348
783,658.4,8.34039991995,78.94105874049586,0.05255389689230007
790,77.66666666666667,49.3113559732,1.5750259779689968,0.011875149555705249
796,11.666666666666666,14.5201229934,0.8034826338571411,0.029745232598371692
803,2.0,4.29582393047,0.4655684293329924,0.057172710657821
804,6.0,5.96864951093,1.0052525263901977,0.07704836406677401
827,9.0,0.610793486339,14.734931202270317,0.010810741280151618
832,104.5,4.28614398679,24.380888818031206,0.016829770230136598
833,235.4,35.9055133883,6.556096203228397,0.0210354793817534
839,16.0,5.58610676634,2.8642488712193286,0.06418235439739269
